image,kanjiname,hiragananame,romajiname,localisedname,nickname,position,element,playstyle,kick,control,technique,pressure,physical,agility,intelligence,bst
https://dxi4wb638ujep.cloudfront.net/1/k/d/w/dwho-wi8ruk.png,円堂 守,えんどう まもる,Mamoru Endo,Mark Evans,円堂,GK,山 (Mountain),Justice,90,97,91,98,105,111,97,689
https://dxi4wb638ujep.cloudfront.net/1/k/f/1/f1kh7d67sbs.png,豪炎寺 修也,ごうえんじ しゅうや,Shuya Goenji,Axel Blaze,豪炎寺,FW,火 (Fire),Justice,121,115,105,88,85,85,93,692
https://dxi4wb638ujep.cloudfront.net/1/k/m/r/mrvaa0xojh8.png,壁山 塀吾郎,かべやま へいごろう,Heigoro Kabeyama,Jack Wallside,壁山,DF,山 (Mountain),Justice,90,94,95,102,105,91,114,691
https://dxi4wb638ujep.cloudfront.net/1/k/9/5/95k7tlx0k0u.png,風丸 一郎太,かぜまる いちろうた,Ichirota Kazemaru,Nathan Swift,風丸,DF,風 (Wind),Justice,90,94,95,102,105,91,114,691
https://dxi4wb638ujep.cloudfront.net/1/k/0/d/0dvmw8cb_ye.png,染岡 竜吾,そめおか りゅうご,Ryugo Someoka,Kevin Dragonfly,染岡,FW,林 (Forest),Tension,117,112,102,84,82,81,90,668
https://dxi4wb638ujep.cloudfront.net/1/k/_/y/_yjndsfyhyu.png,栗松 鉄平,くりまつ てっぺい,Teppei Kurimatsu,Tod Ironside,栗松,DF,火 (Fire),Counter,86,90,91,98,102,88,110,665
https://dxi4wb638ujep.cloudfront.net/1/k/f/3/f3asqpwqusk.png,半田 真一,はんだ しんいち,Shinichi Handa,Steve Grim,半田,MF,風 (Wind),Justice,100,108,105,88,88,81,97,667
https://dxi4wb638ujep.cloudfront.net/1/k/r/d/rd_khczyztm.png,松野 空介,まつの くうすけ,Kusuke Matsuno,Maxwell Carson,マックス,FW,風 (Wind),Tension,117,112,102,84,82,81,90,668
https://dxi4wb638ujep.cloudfront.net/1/k/u/f/ufxz9wwq5hm.png,少林寺 歩,しょうりんじ あゆむ,Ayumu Shorinji,Tim Saunders,しょうりん,MF,林 (Forest),Bond,100,108,105,88,88,81,97,667
https://dxi4wb638ujep.cloudfront.net/1/k/a/1/a1orm9vieek.png,宍戸 佐吉,ししど さきち,Sakichi Shishido,Sam Kincaid,宍戸,MF,火 (Fire),Bond,100,108,105,88,88,81,97,667
